WBS;Capitulo;Subcapitulo;Actividad;Semana;BAC;PV;EV;AC;Comentario_Operativo;Comentario_Administrativo
1.4.4;1. Ingeniería;1.4 Detalle Eléctrica;Control;15;8842;5440;5440;5440;Frente operativo.;Ejecucion conforme.
1.4.4;1. Ingeniería;1.4 Detalle Eléctrica;Control;16;8842;6120;6120;6120;Frente operativo.;Ejecucion conforme.
1.4.4;1. Ingeniería;1.4 Detalle Eléctrica;Control;17;8842;6800;6800;6800;Frente operativo.;Ejecucion conforme.
1.4.4;1. Ingeniería;1.4 Detalle Eléctrica;Control;18;8842;7480;7480;7480;Frente operativo.;Ejecucion conforme.
1.4.4;1. Ingeniería;1.4 Detalle Eléctrica;Control;19;8842;8160;8160;8160;Frente operativo.;Ejecucion conforme.
1.4.4;1. Ingeniería;1.4 Detalle Eléctrica;Control;20;8842;8840;8840;8840;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;1;8842;0;0;0;No iniciada;No iniciada
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;2;8842;0;0;0;No iniciada;No iniciada
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;3;8842;0;0;0;No iniciada;No iniciada
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;4;8842;0;0;0;No iniciada;No iniciada
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;5;8842;0;0;0;No iniciada;No iniciada
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;6;8842;0;0;0;No iniciada;No iniciada
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;7;8842;0;0;0;No iniciada;No iniciada
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;8;8842;680;680;680;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;9;8842;1360;1360;1360;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;10;8842;2040;2040;2040;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;11;8842;2720;2720;2720;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;12;8842;3400;3400;3400;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;13;8842;4080;4080;4080;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;14;8842;4760;4760;4760;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;15;8842;5440;5440;5440;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;16;8842;6120;6120;6120;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;17;8842;6800;6800;6800;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;18;8842;7480;7480;7480;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;19;8842;8160;8160;8160;Frente operativo.;Ejecucion conforme.
1.4.5;1. Ingeniería;1.4 Detalle Eléctrica;Cables;20;8842;8840;8840;8840;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;1;8842;0;0;0;No iniciada;No iniciada
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;2;8842;0;0;0;No iniciada;No iniciada
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;3;8842;0;0;0;No iniciada;No iniciada
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;4;8842;0;0;0;No iniciada;No iniciada
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;5;8842;0;0;0;No iniciada;No iniciada
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;6;8842;0;0;0;No iniciada;No iniciada
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;7;8842;0;0;0;No iniciada;No iniciada
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;8;8842;680;680;680;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;9;8842;1360;1360;1360;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;10;8842;2040;2040;2040;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;11;8842;2720;2720;2720;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;12;8842;3400;3400;3400;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;13;8842;4080;4080;4080;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;14;8842;4760;4760;4760;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;15;8842;5440;5440;5440;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;16;8842;6120;6120;6120;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;17;8842;6800;6800;6800;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;18;8842;7480;7480;7480;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;19;8842;8160;8160;8160;Frente operativo.;Ejecucion conforme.
1.4.6;1. Ingeniería;1.4 Detalle Eléctrica;Alumbrado;20;8842;8840;8840;8840;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;1;8842;0;0;0;No iniciada;No iniciada
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;2;8842;0;0;0;No iniciada;No iniciada
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;3;8842;0;0;0;No iniciada;No iniciada
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;4;8842;0;0;0;No iniciada;No iniciada
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;5;8842;0;0;0;No iniciada;No iniciada
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;6;8842;0;0;0;No iniciada;No iniciada
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;7;8842;0;0;0;No iniciada;No iniciada
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;8;8842;680;680;680;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;9;8842;1360;1360;1360;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;10;8842;2040;2040;2040;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;11;8842;2720;2720;2720;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;12;8842;3400;3400;3400;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;13;8842;4080;4080;4080;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;14;8842;4760;4760;4760;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;15;8842;5440;5440;5440;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;16;8842;6120;6120;6120;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;17;8842;6800;6800;6800;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;18;8842;7480;7480;7480;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;19;8842;8160;8160;8160;Frente operativo.;Ejecucion conforme.
1.4.7;1. Ingeniería;1.4 Detalle Eléctrica;Contra Incendio;20;8842;8840;8840;8840;Frente operativo.;Ejecucion conforme.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;1;27510;0;0;0;No iniciada;No iniciada
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;2;27510;0;0;0;No iniciada;No iniciada
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;3;27510;0;0;0;No iniciada;No iniciada
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;4;27510;0;0;0;No iniciada;No iniciada
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;5;27510;2751;2640;3474;Frente operativo.;Ejecucion conforme.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;6;27510;5502;5280;6948;Frente operativo.;Ejecucion conforme.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;7;27510;8253;7920;10422;Frente operativo.;Ejecucion conforme.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;8;27510;11004;10560;13896;Frente operativo.;Ejecucion conforme.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;9;27510;13755;13200;17370;Frente operativo.;Ejecucion conforme.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;10;27510;16506;15840;20844;Frente operativo.;Ejecucion conforme.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;11;27510;19257;18480;24318;Frente operativo.;Ejecucion conforme.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;12;27510;22008;21120;27792;Nivel freatico detectado. Inicia achique.;Costo directo elevado por ACPM.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;13;27510;24759;23760;31266;Saturacion de terreno. 2 bombas extra.;Aprobacion horas extras achique.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;14;27510;27510;26400;34740;Achique continuo, frente a media marcha.;Alquiler maquinaria impacta CPI.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;15;27510;27510;27510;38214;Actividad terminada.;Costo cerrado.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;16;27510;27510;27510;41688;Actividad terminada.;Costo cerrado.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;17;27510;27510;27510;45162;Actividad terminada.;Costo cerrado.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;18;27510;27510;27510;48636;Actividad terminada.;Costo cerrado.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;19;27510;27510;27510;52110;Actividad terminada.;Costo cerrado.
2.1.1;2. Obras Civiles;2.1 Movimiento Tierras;Descapote;20;27510;54442;19370;-147293;Actividad terminada.;Costo cerrado.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;1;27510;0;0;0;No iniciada;No iniciada
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;2;27510;0;0;0;No iniciada;No iniciada
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;3;27510;0;0;0;No iniciada;No iniciada
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;4;27510;0;0;0;No iniciada;No iniciada
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;5;27510;2751;2640;3474;Frente operativo.;Ejecucion conforme.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;6;27510;5502;5280;6948;Frente operativo.;Ejecucion conforme.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;7;27510;8253;7920;10422;Frente operativo.;Ejecucion conforme.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;8;27510;11004;10560;13896;Frente operativo.;Ejecucion conforme.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;9;27510;13755;13200;17370;Frente operativo.;Ejecucion conforme.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;10;27510;16506;15840;20844;Frente operativo.;Ejecucion conforme.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;11;27510;19257;18480;24318;Frente operativo.;Ejecucion conforme.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;12;27510;22008;21120;27792;Nivel freatico detectado. Inicia achique.;Costo directo elevado por ACPM.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;13;27510;24759;23760;31266;Saturacion de terreno. 2 bombas extra.;Aprobacion horas extras achique.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;14;27510;27510;26400;34740;Achique continuo, frente a media marcha.;Alquiler maquinaria impacta CPI.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;15;27510;27510;27510;38214;Actividad terminada.;Costo cerrado.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;16;27510;27510;27510;41688;Actividad terminada.;Costo cerrado.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;17;27510;27510;27510;45162;Actividad terminada.;Costo cerrado.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;18;27510;27510;27510;48636;Actividad terminada.;Costo cerrado.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;19;27510;27510;27510;52110;Actividad terminada.;Costo cerrado.
2.1.2;2. Obras Civiles;2.1 Movimiento Tierras;Excavacion Terrazas;20;27510;27510;27510;55584;Actividad terminada.;Costo cerrado.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;1;27510;0;0;0;No iniciada;No iniciada
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;2;27510;0;0;0;No iniciada;No iniciada
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;3;27510;0;0;0;No iniciada;No iniciada
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;4;27510;0;0;0;No iniciada;No iniciada
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;5;27510;2751;2640;3474;Frente operativo.;Ejecucion conforme.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;6;27510;5502;5280;6948;Frente operativo.;Ejecucion conforme.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;7;27510;8253;7920;10422;Frente operativo.;Ejecucion conforme.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;8;27510;11004;10560;13896;Frente operativo.;Ejecucion conforme.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;9;27510;13755;13200;17370;Frente operativo.;Ejecucion conforme.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;10;27510;16506;15840;20844;Frente operativo.;Ejecucion conforme.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;11;27510;19257;18480;24318;Frente operativo.;Ejecucion conforme.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;12;27510;22008;21120;27792;Nivel freatico detectado. Inicia achique.;Costo directo elevado por ACPM.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;13;27510;24759;23760;31266;Saturacion de terreno. 2 bombas extra.;Aprobacion horas extras achique.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;14;27510;27510;26400;34740;Achique continuo, frente a media marcha.;Alquiler maquinaria impacta CPI.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;15;27510;27510;27510;38214;Actividad terminada.;Costo cerrado.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;16;27510;27510;27510;41688;Actividad terminada.;Costo cerrado.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;17;27510;27510;27510;45162;Actividad terminada.;Costo cerrado.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;18;27510;27510;27510;48636;Actividad terminada.;Costo cerrado.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;19;27510;27510;27510;52110;Actividad terminada.;Costo cerrado.
2.1.3;2. Obras Civiles;2.1 Movimiento Tierras;Relleno;20;27510;27510;27510;55584;Actividad terminada.;Costo cerrado.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;1;27510;0;0;0;No iniciada;No iniciada
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;2;27510;0;0;0;No iniciada;No iniciada
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;3;27510;0;0;0;No iniciada;No iniciada
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;4;27510;0;0;0;No iniciada;No iniciada
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;5;27510;2751;2640;3474;Frente operativo.;Ejecucion conforme.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;6;27510;5502;5280;6948;Frente operativo.;Ejecucion conforme.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;7;27510;8253;7920;10422;Frente operativo.;Ejecucion conforme.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;8;27510;11004;10560;13896;Frente operativo.;Ejecucion conforme.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;9;27510;13755;13200;17370;Frente operativo.;Ejecucion conforme.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;10;27510;16506;15840;20844;Frente operativo.;Ejecucion conforme.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;11;27510;19257;18480;24318;Frente operativo.;Ejecucion conforme.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;12;27510;22008;21120;27792;Nivel freatico detectado. Inicia achique.;Costo directo elevado por ACPM.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;13;27510;24759;23760;31266;Saturacion de terreno. 2 bombas extra.;Aprobacion horas extras achique.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;14;27510;27510;26400;34740;Achique continuo, frente a media marcha.;Alquiler maquinaria impacta CPI.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;15;27510;27510;27510;38214;Actividad terminada.;Costo cerrado.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;16;27510;27510;27510;41688;Actividad terminada.;Costo cerrado.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;17;27510;27510;27510;45162;Actividad terminada.;Costo cerrado.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;18;27510;27510;27510;48636;Actividad terminada.;Costo cerrado.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;19;27510;27510;27510;52110;Actividad terminada.;Costo cerrado.
2.1.4;2. Obras Civiles;2.1 Movimiento Tierras;Vias Perimetrales;20;27510;27510;27510;55584;Actividad terminada.;Costo cerrado.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;1;27510;0;0;0;No iniciada;No iniciada
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;2;27510;0;0;0;No iniciada;No iniciada
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;3;27510;0;0;0;No iniciada;No iniciada
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;4;27510;0;0;0;No iniciada;No iniciada
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;5;27510;2751;2640;3474;Frente operativo.;Ejecucion conforme.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;6;27510;5502;5280;6948;Frente operativo.;Ejecucion conforme.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;7;27510;8253;7920;10422;Frente operativo.;Ejecucion conforme.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;8;27510;11004;10560;13896;Frente operativo.;Ejecucion conforme.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;9;27510;13755;13200;17370;Frente operativo.;Ejecucion conforme.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;10;27510;16506;15840;20844;Frente operativo.;Ejecucion conforme.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;11;27510;19257;18480;24318;Frente operativo.;Ejecucion conforme.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;12;27510;22008;21120;27792;Nivel freatico detectado. Inicia achique.;Costo directo elevado por ACPM.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;13;27510;24759;23760;31266;Saturacion de terreno. 2 bombas extra.;Aprobacion horas extras achique.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;14;27510;27510;26400;34740;Achique continuo, frente a media marcha.;Alquiler maquinaria impacta CPI.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;15;27510;27510;27510;38214;Actividad terminada.;Costo cerrado.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;16;27510;27510;27510;41688;Actividad terminada.;Costo cerrado.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;17;27510;27510;27510;45162;Actividad terminada.;Costo cerrado.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;18;27510;27510;27510;48636;Actividad terminada.;Costo cerrado.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;19;27510;27510;27510;52110;Actividad terminada.;Costo cerrado.
2.1.5;2. Obras Civiles;2.1 Movimiento Tierras;Taludes;20;27510;27510;27510;55584;Actividad terminada.;Costo cerrado.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;1;27510;0;0;0;No iniciada;No iniciada
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;2;27510;0;0;0;No iniciada;No iniciada
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;3;27510;0;0;0;No iniciada;No iniciada
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;4;27510;0;0;0;No iniciada;No iniciada
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;5;27510;2751;2640;3474;Frente operativo.;Ejecucion conforme.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;6;27510;5502;5280;6948;Frente operativo.;Ejecucion conforme.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;7;27510;8253;7920;10422;Frente operativo.;Ejecucion conforme.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;8;27510;11004;10560;13896;Frente operativo.;Ejecucion conforme.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;9;27510;13755;13200;17370;Frente operativo.;Ejecucion conforme.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;10;27510;16506;15840;20844;Frente operativo.;Ejecucion conforme.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;11;27510;19257;18480;24318;Frente operativo.;Ejecucion conforme.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;12;27510;22008;21120;27792;Nivel freatico detectado. Inicia achique.;Costo directo elevado por ACPM.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;13;27510;24759;23760;31266;Saturacion de terreno. 2 bombas extra.;Aprobacion horas extras achique.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;14;27510;27510;26400;34740;Achique continuo, frente a media marcha.;Alquiler maquinaria impacta CPI.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;15;27510;27510;27510;38214;Actividad terminada.;Costo cerrado.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;16;27510;27510;27510;41688;Actividad terminada.;Costo cerrado.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;17;27510;27510;27510;45162;Actividad terminada.;Costo cerrado.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;18;27510;27510;27510;48636;Actividad terminada.;Costo cerrado.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;19;27510;27510;27510;52110;Actividad terminada.;Costo cerrado.
2.1.6;2. Obras Civiles;2.1 Movimiento Tierras;Cerramiento Prov;20;27510;27510;27510;55584;Actividad terminada.;Costo cerrado.
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;1;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;2;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;3;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;4;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;5;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;6;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;7;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;8;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;9;41266;0;0;0;No iniciada;No iniciada
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;10;41266;2579;2475;3257;Frente operativo.;Ejecucion conforme.
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;11;41266;5158;4950;6514;Frente operativo.;Ejecucion conforme.
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;12;41266;7737;7425;9771;Nivel freatico detectado. Inicia achique.;Costo directo elevado por ACPM.
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;13;41266;10316;9900;13028;Saturacion de terreno. 2 bombas extra.;Aprobacion horas extras achique.
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;14;41266;12895;12375;16285;Achique continuo, frente a media marcha.;Alquiler maquinaria impacta CPI.
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;15;41266;15474;14850;19542;Barro severo. Accesos limitados.;Mitigacion ambiental en curso.
2.2.1;2. Obras Civiles;2.2 Cimentaciones;Zapatas Porticos;16;41266;18053;17325;22799;Fundicion lenta por lodos en foso.;Alerta presupuestal en obra civil.
